identifier,category,description
边框切换,Transitions,Free
运镜压缩,Transitions,Free
迷幻波纹,Transitions,Free
迷幻频闪,Transitions,Free
透镜故障,Transitions,Free
重叠上滑,Transitions,Free
金币祝福,Transitions,Free
金沙,Transitions,Free
金色光斑,Transitions,Free
钱兔无量,Transitions,Free
镜头速移,Transitions,Free
长曝光,Transitions,Free
闪光灯,Transitions,Free
闪光灯_II,Transitions,Free
闪光灯_III,Transitions,Free
闪动光斑,Transitions,Free
闪动光斑_II,Transitions,Free
闪回,Transitions,Free
闪屏故障,Transitions,Free
闪黑_II,Transitions,Free
闹钟,Transitions,Free
雨刷转场,Transitions,Free
雪花叠化,Transitions,Free
雪花四散,Transitions,Free
雪花环绕,Transitions,Free
雪雾,Transitions,Free
震动_II,Transitions,Free
震动缩小,Transitions,Free
霓虹闪光,Transitions,Free
霓虹闪光_II,Transitions,Free
顺时针三角,Transitions,Free
飘雪,Transitions,Free
飘雪_II,Transitions,Free
马赛克_II,Transitions,Free
马赛克III,Transitions,Free
鱼眼,Transitions,Free
鱼眼_II,Transitions,Free
鱼眼_III,Transitions,Free
鱼眼波纹,Transitions,Free
鸿运四叶草,Transitions,Free
黑板擦除,Transitions,Free
黑白摇镜,Transitions,Free
黑色反转片,Transitions,Free
